target_name	antigen_url	sku	species	expression_host	tags	gene_symbol	protein_name
14-3-3 epsilon	https://www.sinobiological.com/search?keywords=50691-M09E-B	50691-M09E-B	Mouse		N-GST		14-3-3 epsilon (Biotinylated)
2B4/CD244	https://www.sinobiological.com/search?keywords=10042-H41H-B	10042-H41H-B	Human		C-hFc & AVI		2B4/CD244 (Biotinylated)
4-1BB Ligand/TNFSF9	https://www.sinobiological.com/search?keywords=15693-H42H-B	15693-H42H-B	Human		N-AVI & hFc		4-1BB Ligand/TNFSF9 (Biotinylated)
4-1BB/CD137	https://www.sinobiological.com/search?keywords=10041-H08H-B	10041-H08H-B	Human		C-His		4-1BB/CD137 (Amine-Labeled Biotinylated, HPLC-verified)
5'-nucleotidase/CD73/NT5E	https://www.sinobiological.com/search?keywords=10904-H49H-B	10904-H49H-B	Human		C-His-AVI		5'-nucleotidase/CD73/NT5E (Biotinylated, HPLC-verified)
A27L Protein	https://www.sinobiological.com/search?keywords=41038-V44E-B	41038-V44E-B	"MPXV
strain Zaire-96-I-16"		N-AVI-His		A27L Protein (Avi-tag Biotinylated, HPLC-verified)
ACE2	https://www.sinobiological.com/search?keywords=10108-H27B-B	10108-H27B-B	Human		C-AVI & His		ACE2 (Biotinylated)
ACVR2B	https://www.sinobiological.com/search?keywords=10229-H08H-B	10229-H08H-B	Human		C-His		ACVR2B (Biotinylated, HPLC-verified)
AMIGO2	https://www.sinobiological.com/search?keywords=13735-H08H-B	13735-H08H-B	Human		C-His		AMIGO2 (Amine-Labeled Biotinylated)
APRIL/TNFSF13	https://www.sinobiological.com/search?keywords=10610-H44H1-B	10610-H44H1-B	Human		N-AVI-His		APRIL/TNFSF13 (Avi-tag Biotinylated, MALS-verified)
ARF1	https://www.sinobiological.com/search?keywords=14968-H49E-B	14968-H49E-B	Human		C-His-AVI		ARF1 (Biotinylated, HPLC-verified)
ASGR1	https://www.sinobiological.com/search?keywords=50083-M07H-B	50083-M07H-B	Mouse		N-His		ASGR1 (Amine-Labeled Biotinylated)
ATP6V1F	https://www.sinobiological.com/search?keywords=15605-H09E-B	15605-H09E-B	Human		N-GST		ATP6V1F (Biotinylated)
Albumin	https://www.sinobiological.com/search?keywords=10968-HNAY2-B	10968-HNAY2-B	Human		No tag		Albumin (Amine-Labeled Biotinylated)
Alkaline Phosphatase/ALPL	https://www.sinobiological.com/search?keywords=10440-H17H-B	10440-H17H-B	Human		C-AVI		Alkaline Phosphatase/ALPL (Avi-tag Biotinylated, HPLC-verified)
Angiopoietin-2/ANGPT2	https://www.sinobiological.com/search?keywords=10691-H08S-B	10691-H08S-B	Human		C-His		Angiopoietin-2/ANGPT2 (Amine-Labeled Biotinylated)
Annexin V/ANXA5	https://www.sinobiological.com/search?keywords=10448-HNAE-B	10448-HNAE-B	Human		No tag		Annexin V/ANXA5 (Amine-Labeled Biotinylated)
Apolipoprotein E/APOE	https://www.sinobiological.com/search?keywords=10817-H30E-B	10817-H30E-B	Human		N-Trx		Apolipoprotein E/APOE (isoform E3,Amine-Labeled Biotinylated)
B6R Protein	https://www.sinobiological.com/search?keywords=40902-V08H-B	40902-V08H-B	"MPXV
West African strains"		C-His		B6R Protein (Amine-Labeled Biotinylated)
B7-1/CD80	https://www.sinobiological.com/search?keywords=10698-H49H-B	10698-H49H-B	Human		C-His-AVI		B7-1/CD80 (HPLC-verified, Biotinylated)
