Well Position,Name,Design Path
A1,design_1_59_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/6M17/designs/RBM_Flank_and_Crest/hs-C/rfa_af3/design_1_59_dldesign_0/design_1_59_dldesign_0/design_1_59_dldesign_0_model.cif
B1,design_1_30_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/6M17/designs/RBM_Flank_and_Crest/hs-B/rfa_af3/design_1_30_dldesign_0/design_1_30_dldesign_0/design_1_30_dldesign_0_model.cif
C1,design_1_82_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/6M17/designs/RBM_Flank_and_Crest/hs-B/rfa_af3/design_1_82_dldesign_0/design_1_82_dldesign_0/design_1_82_dldesign_0_model.cif
D1,design_1_11_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/6M17/designs/RBM_Flank_and_Crest/hs-C/rfa_af3/design_1_11_dldesign_0/design_1_11_dldesign_0/design_1_11_dldesign_0_model.cif
E1,design_1_12_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/6M17/designs/RBM_Flank_and_Crest/hs-A/rfa_af3/design_1_12_dldesign_0/design_1_12_dldesign_0/design_1_12_dldesign_0_model.cif
F1,design_1_28_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/6M17/designs/RBM_Flank_and_Crest/hs-B/rfa_af3/design_1_28_dldesign_0/design_1_28_dldesign_0/design_1_28_dldesign_0_model.cif
G1,design_1_81_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/6M17/designs/Conserved_Structural_Site/hs-A/rfa_af3/design_1_81_dldesign_0/design_1_81_dldesign_0/design_1_81_dldesign_0_model.cif
H1,design_1_97_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/6M17/designs/RBM_Flank_and_Crest/hs-A/rfa_af3/design_1_97_dldesign_0/design_1_97_dldesign_0/design_1_97_dldesign_0_model.cif
A2,design_1_4_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/6M17/designs/RBM_Flank_and_Crest/hs-C/rfa_af3/design_1_4_dldesign_0/design_1_4_dldesign_0/design_1_4_dldesign_0_model.cif
B2,design_1_22_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/6M17/designs/Conserved_Structural_Site/hs-C/rfa_af3/design_1_22_dldesign_0/design_1_22_dldesign_0/design_1_22_dldesign_0_model.cif
