Well Position,Name,Design Path
A1,20250910_0409_design_1_2_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-C/rfa_af3/20250910_0409_design_1_2_dldesign_0/20250910_0409_design_1_2_dldesign_0/20250910_0409_design_1_2_dldesign_0_model.cif
B1,20250910_0409_design_1_66_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_2/hs-A/rfa_af3/20250910_0409_design_1_66_dldesign_0/20250910_0409_design_1_66_dldesign_0/20250910_0409_design_1_66_dldesign_0_model.cif
C1,20250910_0409_design_1_27_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_2/hs-C/rfa_af3/20250910_0409_design_1_27_dldesign_0/20250910_0409_design_1_27_dldesign_0/20250910_0409_design_1_27_dldesign_0_model.cif
D1,20250910_0409_design_1_67_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_1/hs-A/rfa_af3/20250910_0409_design_1_67_dldesign_0/20250910_0409_design_1_67_dldesign_0/20250910_0409_design_1_67_dldesign_0_model.cif
E1,20250910_0409_design_1_23_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_1/hs-A/rfa_af3/20250910_0409_design_1_23_dldesign_0/20250910_0409_design_1_23_dldesign_0/20250910_0409_design_1_23_dldesign_0_model.cif
F1,20250910_0409_design_1_79_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_2/hs-C/rfa_af3/20250910_0409_design_1_79_dldesign_0/20250910_0409_design_1_79_dldesign_0/20250910_0409_design_1_79_dldesign_0_model.cif
G1,20250910_0409_design_1_19_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-B/rfa_af3/20250910_0409_design_1_19_dldesign_0/20250910_0409_design_1_19_dldesign_0/20250910_0409_design_1_19_dldesign_0_model.cif
H1,20250910_0409_design_1_52_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-A/rfa_af3/20250910_0409_design_1_52_dldesign_0/20250910_0409_design_1_52_dldesign_0/20250910_0409_design_1_52_dldesign_0_model.cif
A2,20250910_0409_design_1_6_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_1/hs-B/rfa_af3/20250910_0409_design_1_6_dldesign_0/20250910_0409_design_1_6_dldesign_0/20250910_0409_design_1_6_dldesign_0_model.cif
B2,20250910_0409_design_1_87_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_2/hs-C/rfa_af3/20250910_0409_design_1_87_dldesign_0/20250910_0409_design_1_87_dldesign_0/20250910_0409_design_1_87_dldesign_0_model.cif
C2,20250910_1137_design_1_0_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_2/hs-C/rfa_af3/20250910_1137_design_1_0_dldesign_0/20250910_1137_design_1_0_dldesign_0/20250910_1137_design_1_0_dldesign_0_model.cif
D2,20250910_0409_design_1_61_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_1/hs-A/rfa_af3/20250910_0409_design_1_61_dldesign_0/20250910_0409_design_1_61_dldesign_0/20250910_0409_design_1_61_dldesign_0_model.cif
E2,20250910_0409_design_1_60_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_1/hs-C/rfa_af3/20250910_0409_design_1_60_dldesign_0/20250910_0409_design_1_60_dldesign_0/20250910_0409_design_1_60_dldesign_0_model.cif
F2,20250910_0409_design_1_30_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_2/hs-C/rfa_af3/20250910_0409_design_1_30_dldesign_0/20250910_0409_design_1_30_dldesign_0/20250910_0409_design_1_30_dldesign_0_model.cif
G2,20250910_0409_design_1_25_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-C/rfa_af3/20250910_0409_design_1_25_dldesign_0/20250910_0409_design_1_25_dldesign_0/20250910_0409_design_1_25_dldesign_0_model.cif
H2,20250910_0409_design_1_57_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-A/rfa_af3/20250910_0409_design_1_57_dldesign_0/20250910_0409_design_1_57_dldesign_0/20250910_0409_design_1_57_dldesign_0_model.cif
A3,20250910_0409_design_1_50_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-B/rfa_af3/20250910_0409_design_1_50_dldesign_0/20250910_0409_design_1_50_dldesign_0/20250910_0409_design_1_50_dldesign_0_model.cif
B3,20250910_0409_design_1_98_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-C/rfa_af3/20250910_0409_design_1_98_dldesign_0/20250910_0409_design_1_98_dldesign_0/20250910_0409_design_1_98_dldesign_0_model.cif
C3,20250910_0409_design_1_34_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_2/hs-B/rfa_af3/20250910_0409_design_1_34_dldesign_0/20250910_0409_design_1_34_dldesign_0/20250910_0409_design_1_34_dldesign_0_model.cif
D3,20250910_1137_design_1_5_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-C/rfa_af3/20250910_1137_design_1_5_dldesign_0/20250910_1137_design_1_5_dldesign_0/20250910_1137_design_1_5_dldesign_0_model.cif
E3,20250910_0409_design_1_59_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_1/hs-B/rfa_af3/20250910_0409_design_1_59_dldesign_0/20250910_0409_design_1_59_dldesign_0/20250910_0409_design_1_59_dldesign_0_model.cif
F3,20250910_0409_design_1_69_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-C/rfa_af3/20250910_0409_design_1_69_dldesign_0/20250910_0409_design_1_69_dldesign_0/20250910_0409_design_1_69_dldesign_0_model.cif
G3,20250910_0409_design_1_18_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-C/rfa_af3/20250910_0409_design_1_18_dldesign_0/20250910_0409_design_1_18_dldesign_0/20250910_0409_design_1_18_dldesign_0_model.cif
H3,20250910_0409_design_1_34_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_2/hs-B/rfa_af3/20250910_0409_design_1_34_dldesign_0/20250910_0409_design_1_34_dldesign_0/20250910_0409_design_1_34_dldesign_0_model.cif
A4,20250910_0409_design_1_53_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_1/hs-B/rfa_af3/20250910_0409_design_1_53_dldesign_0/20250910_0409_design_1_53_dldesign_0/20250910_0409_design_1_53_dldesign_0_model.cif
B4,20250910_0409_design_1_77_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_2/hs-C/rfa_af3/20250910_0409_design_1_77_dldesign_0/20250910_0409_design_1_77_dldesign_0/20250910_0409_design_1_77_dldesign_0_model.cif
C4,20250910_0409_design_1_50_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-B/rfa_af3/20250910_0409_design_1_50_dldesign_0/20250910_0409_design_1_50_dldesign_0/20250910_0409_design_1_50_dldesign_0_model.cif
D4,20250910_1137_design_1_7_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-A/rfa_af3/20250910_1137_design_1_7_dldesign_0/20250910_1137_design_1_7_dldesign_0/20250910_1137_design_1_7_dldesign_0_model.cif
E4,20250910_0409_design_1_0_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-A/rfa_af3/20250910_0409_design_1_0_dldesign_0/20250910_0409_design_1_0_dldesign_0/20250910_0409_design_1_0_dldesign_0_model.cif
F4,20250910_0409_design_1_12_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Membrane-Proximal_Stalk_Region/hs-B/rfa_af3/20250910_0409_design_1_12_dldesign_0/20250910_0409_design_1_12_dldesign_0/20250910_0409_design_1_12_dldesign_0_model.cif
G4,20250910_0409_design_1_61_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_1/hs-A/rfa_af3/20250910_0409_design_1_61_dldesign_0/20250910_0409_design_1_61_dldesign_0/20250910_0409_design_1_61_dldesign_0_model.cif
H4,20250910_0409_design_1_17_dldesign_0,/dfs6/pub/inagakit/Projects/initbinder/targets/8ES8/designs/Ig-like_Domain_Loop_2/hs-A/rfa_af3/20250910_0409_design_1_17_dldesign_0/20250910_0409_design_1_17_dldesign_0/20250910_0409_design_1_17_dldesign_0_model.cif
