gene	uniprot	antigen_catalog	antigen_url	antigen_is_biotinylated	molecular_weight_kda	accession	vendor_range	pdb_id	entity_id	auth_chain	identity	coverage	intersection	u_range	resolution_A	method	release_date	subunit_name
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	1MFG	2	B	1.000	0.000	None	1247-1255	1.25	X-RAY DIFFRACTION	2003-01-21	Erb-B2 carboxyl-terminal fragment
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	1MFL	2	B	1.000	0.000	None	1247-1255	1.88	X-RAY DIFFRACTION	2003-01-21	PHOSPHORYLATED Erb-B2 carboxyl-terminal fragment.
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	1MW4	2	B	1.000	0.000	None	1135-1144		SOLUTION NMR	2003-09-09	Receptor protein-tyrosine kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	1N8Z	3	C	1.000	0.931	23-629	23-629	2.52	X-RAY DIFFRACTION	2003-02-18	Receptor protein-tyrosine kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	1QR1	3	C	1.000	0.000	None	654-662	2.40	X-RAY DIFFRACTION	2000-01-01	GP2 PEPTIDE
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	1S78	1	A	1.000	0.957	23-646	23-646	3.25	X-RAY DIFFRACTION	2004-04-27	Receptor protein-tyrosine kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	2JWA	1	A	1.000	0.018	641-652	641-684		SOLUTION NMR	2008-01-22	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	2KS1	1	A	1.000	0.018	641-652	641-684		SOLUTION NMR	2010-06-09	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	2L4K	2	B	1.000	0.000	None	1135-1144		SOLUTION NMR	2010-11-17	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	2N2A	1	A	0.983	0.014	644-652	644-700		SOLUTION NMR	2016-02-24	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	3BE1	1	A	1.000	0.957	23-646	23-646	2.90	X-RAY DIFFRACTION	2008-11-18	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	3H3B	1	A	0.995	0.296	22-214	22-214	2.45	X-RAY DIFFRACTION	2010-04-28	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	3MZW	1	A	1.000	0.957	23-646	23-646	2.90	X-RAY DIFFRACTION	2010-07-28	Tyrosine kinase-type cell surface receptor HER2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	3N85	1	A	1.000	0.957	23-646	23-646	3.20	X-RAY DIFFRACTION	2010-07-28	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	3WLW	1	A	1.000	0.865	23-586	23-586	3.09	X-RAY DIFFRACTION	2015-05-27	Receptor tyrosine-protein kinase erbB-2
