rank	selection	uniprot	gene	protein_name	organism	chosen_pdb	matched_chain	resolution_A	method	pdb_release_date	identity	coverage	pdb_vendor_intersection	vendor_accession	vendor_range	pdb_map_uniprot_range	antigen_catalog	antigen_url	biotinylated	molecular_weight_kda	product_form	expression_host	tags	quantity_ug	concentration_mg_per_ml	price_usd	pack_size	buffer	reconstitution	storage_temp	purity_percent	endotoxin_eu_per_mg	validating_assays
1	biotin	Q07011	TNFRSF9	Tumor necrosis factor receptor superfamily member 9	Homo sapiens	8GYE	A	2.30	X-RAY DIFFRACTION	2023-09-27	1.000	1.000	24-186	Q07011-1	24-186	24-186	41B-H82E6	https://www.acrobiosystems.com/products/protein/4-1bb-human-41b-h82e6	True	20.9	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
2	biotin	P41273	TNFSF9	Tumor necrosis factor ligand superfamily member 9	Homo sapiens	6MGP	A	2.13	X-RAY DIFFRACTION	2018-11-14	1.000	0.961	58-254	P41273-1	50-254	58-254	41L-H82F9	https://www.acrobiosystems.com/products/protein/4-1bb-ligand-human-41l-h82f9	True	50.2	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0	100.0	HABA assay / binding ELISA, sterility and endotoxin tests, SDS-PAGE
3	biotin	Q9BYF1	ACE2	Isoform 1 of Angiotensin-converting enzyme 2	Homo sapiens	8XSF	A	2.16	ELECTRON MICROSCOPY	2024-07-17	1.000	1.000	18-740	Q9BYF1-1	18-740	18-740	AC2-H82E6	https://www.acrobiosystems.com/products/protein/ace2-human-ac2-h82e6	True	87.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					50 mM Tris, 150 mM NaCl, pH8.0 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -70°C (after reconstitution)	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
4	biotin	P05187	ALPP	Alkaline phosphatase, placental type	Homo sapiens	1ZED	A	1.57	X-RAY DIFFRACTION	2005-06-28	1.000	1.000	23-506	P05187-1	23-506	23-506	ALP-H82E3	https://www.acrobiosystems.com/products/protein/alpp-human-alp-h82e3	True	56.3	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					20 mM Tris, 150 mM NaCl, pH 7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -70°C (after reconstitution)	90.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
5	biotin	O75888	TNFSF13	Isoform Alpha of Tumor necrosis factor ligand superfamily member 13	Homo sapiens	4ZCH	A	2.43	X-RAY DIFFRACTION	2015-05-13	0.993	0.971	115-250	O75888-1	111-250	115-250	APL-H82Q8	https://www.acrobiosystems.com/products/protein/april-human-apl-h82q8	True	50.9	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the N-terminus, polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
6	biotin	P07306	ASGR1	Isoform H1a of Asialoglycoprotein receptor 1	Homo sapiens	9G76	A	1.20	X-RAY DIFFRACTION	2025-03-19	1.000	0.626	148-291	P07306-1	62-291	148-291	GS1-H82Q3	https://www.acrobiosystems.com/products/protein/asgr1-human-gs1-h82q3	True	33.4	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, 0.2 M Arginine, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
7	biotin	P27037	ACVR2A	Isoform 1 of Activin receptor type-2A	Homo sapiens	5NH3	A	2.35	X-RAY DIFFRACTION	2017-11-15	1.000	1.000	20-135	P27037-1	20-135	20-135	ACA-H82F4	https://www.acrobiosystems.com/products/protein/activin-riia-human-aca-h82f4	True	41.5	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the N-terminus, human IgG1 Fc tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
8	biotin	Q13705	ACVR2B	Activin receptor type-2B	Homo sapiens	7MRZ	C	3.00	X-RAY DIFFRACTION	2022-01-19	1.000	0.975	19-134	Q13705-1	19-137	19-134	ACB-H82E3	https://www.acrobiosystems.com/products/protein/activin-riib-human-acb-h82e3	True	17.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
9	biotin	P37840	SNCA	Isoform 1 of Alpha-synuclein	Homo sapiens	9EUU	A	1.93	ELECTRON MICROSCOPY	2024-06-05	1.000	1.000	1-140	P37840-1	1-140	1-140	ALN-H82H8	https://www.acrobiosystems.com/products/protein/alpha-synuclein-human-aln-h82h8	True	18.0	Lyophilized	E. coli	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					Lyophilized from 0.22 μm filtered solution in 100 mM NaAC, pH7.0 with trehalose as protectant.	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
10	biotin	O15123	ANGPT2	Isoform 1 of Angiopoietin-2	Homo sapiens	4ZFG	A	2.27	X-RAY DIFFRACTION	2015-07-01	0.991	0.467	274-496	O15123-1	19-496	274-496	AN2-H82E9	https://www.acrobiosystems.com/products/protein/angiopoietin-2-human-an2-h82e9	True	58.6	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					20 mM MOPS, 150 mM NaCl, 5 mM CHAPS, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		HABA assay / binding ELISA, SDS-PAGE
11	biotin	P08758	ANXA5	Annexin A5	Homo sapiens	8H9Z	A	1.42	X-RAY DIFFRACTION	2023-11-01	1.000	0.997	2-320	P08758-1	1-320	2-320	AN5-H81E5	https://www.acrobiosystems.com/products/protein/annexin-a5-human-an5-h81e5	True	39.5	Lyophilized	E. coli	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					Lyophilized from 0.22 μm filtered solution in PBS, pH7.4 with trehalose as protectant.	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0	100.0	sterility and endotoxin tests, HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
12	biotin	P02649	APOE	Apolipoprotein E	Homo sapiens	8AX9	A	1.55	X-RAY DIFFRACTION	2023-08-30	0.980	1.000	19-317	P02649-1	19-317	19-317	APE-H52E3	https://www.acrobiosystems.com/products/protein/apolipoprotein-e-human-ape-h52e3	True	37.8	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
13	biotin	P30530	AXL	Isoform Long of Tyrosine-protein kinase receptor UFO	Homo sapiens	2C5D	C	3.30	X-RAY DIFFRACTION	2005-12-19	1.000	0.458	33-227	P30530-1	26-451	33-227	AXL-H82F9	https://www.acrobiosystems.com/products/protein/axl-human-axl-h82f9	True	74.3	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
14	biotin	P33681	CD80	T-lymphocyte activation antigen CD80	Homo sapiens	1I8L	A	3.00	X-RAY DIFFRACTION	2001-04-04	1.000	1.000	35-242	NP_005182.1	35-242	35-242	B71-H82F2	https://www.acrobiosystems.com/products/protein/b7-1-human-b71-h82f2	True	52.3	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	95.0		HABA assay / binding ELISA
15	biotin	P42081	CD86	T-lymphocyte activation antigen CD86	Homo sapiens	8FXY	C	3.34	ELECTRON MICROSCOPY	2025-02-05	0.995	0.982	26-243	P42081	26-247	26-243	CD6-H82F5	https://www.acrobiosystems.com/products/protein/b7-2-human-cd6-h82f5	True	53.8	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					50 mM Tris, 100 mM Glycine, 25 mM Arginine, 150 mM NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0	10.0	HABA assay / binding ELISA, SDS-PAGE, SEC-MALS, sterility and endotoxin tests
16	biotin	Q7Z7D3	VTCN1	V-set domain-containing T-cell activation inhibitor 1	Homo sapiens	4GOS	A	1.59	X-RAY DIFFRACTION	2012-09-12	1.000	0.517	30-148	NP_078902	29-258	30-148	B74-H82E2	https://www.acrobiosystems.com/products/protein/b7-h4-human-b74-h82e2	True	28.0	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		HABA assay / binding ELISA
17	biotin	Q9H7M9	VSIR	V-type immunoglobulin domain-containing suppressor of T-cell activation	Homo sapiens	6MVL	A	1.61	X-RAY DIFFRACTION	2019-10-23	0.975	1.000	33-194	AAH20568.1	33-194	33-194	B75-H82F3	https://www.acrobiosystems.com/products/protein/b7-h5-human-b75-h82f3	True	47.1	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
18	biotin	Q68D85	NCR3LG1	Natural cytotoxicity triggering receptor 3 ligand 1	Homo sapiens	3PV7	A	2.00	X-RAY DIFFRACTION	2011-03-16	1.000	1.000	25-262	Q68D85-1	25-262	25-262	B76-H82E5	https://www.acrobiosystems.com/products/protein/b7-h6-human-b76-h82e5	True	30.4	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
19	biotin	Q96RJ3	TNFRSF13C	Isoform 1 of Tumor necrosis factor receptor superfamily member 13C	Homo sapiens	4V46	B0	3.30	X-RAY DIFFRACTION	2014-07-09	1.000	0.877	7-63	Q96RJ3-1	7-71	7-63	BAR-H82E4	https://www.acrobiosystems.com/products/protein/baffr-human-bar-h82e4	True	10.3	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
